Ps

223.215.189.41	(中国安徽池州 电信)
211.97.87.88	(中国广西南宁 联通)
220.200.130.78	(中国广西南宁 联通)
36.136.99.138	(中国广西南宁 移动)
58.42.59.109	(中国贵州贵阳 电信)
58.42.63.91	(中国贵州贵阳 电信)
111.123.59.139	(中国贵州贵阳 电信)
111.123.248.39	(中国贵州贵阳 电信)
111.124.71.242	(中国贵州贵阳 电信)
111.124.75.196	(中国贵州贵阳 电信)
61.243.27.192	(中国贵州贵阳 联通)
117.187.40.217	(中国贵州贵阳 移动)
117.187.145.124	(中国贵州贵阳 移动)
117.187.245.204	(中国贵州贵阳 移动)
124.225.121.133	(中国海南海口 电信)
124.225.154.10	(中国海南海口 电信)
124.225.189.55	(中国海南海口 电信)
113.59.44.10	(中国海南海口 联通)
123.182.89.152	(中国河北承德 电信)
123.182.124.112	(中国河北承德 电信)
106.119.86.203	(中国河北邯郸 电信)
101.28.130.139	(中国河北邯郸 联通)
60.9.3.146	(中国河北衡水 联通)
123.182.162.111	(中国河北廊坊 电信)
124.236.90.13	(中国河北石家庄 电信)
218.12.124.153	(中国河北石家庄 联通)
111.62.158.89	(中国河北石家庄 移动)
101.72.226.68	(中国河北唐山 联通)
101.72.227.55	(中国河北唐山 联通)
101.72.228.98	(中国河北唐山 联通)
101.72.248.62	(中国河北唐山 联通)
36.144.34.153	(中国河北唐山 移动)
111.63.215.21	(中国河北邢台 移动)
111.6.13.108	(中国河南安阳 移动)
221.15.67.36	(中国河南洛阳 联通)
222.141.205.249	(中国河南漯河 联通)
42.231.143.120	(中国河南南阳 联通)
125.44.162.222	(中国河南南阳 联通)
222.136.90.8	(中国河南濮阳 联通)
1.194.194.82	(中国河南郑州 电信)
1.194.195.128	(中国河南郑州 电信)
123.161.58.100	(中国河南郑州 电信)
123.6.105.17	(中国河南郑州 联通)
111.6.166.242	(中国河南郑州 移动)
111.6.187.169	(中国河南郑州 移动)
183.204.70.207	(中国河南郑州 移动)
222.138.7.137	(中国河南驻马店 联通)
42.100.48.70	(中国黑龙江哈尔滨 电信)
42.101.54.22	(中国黑龙江哈尔滨 电信)
42.185.159.150	(中国黑龙江哈尔滨 电信)
219.147.85.20	(中国黑龙江哈尔滨 电信)
111.43.172.211	(中国黑龙江哈尔滨 移动)
111.43.185.134	(中国黑龙江哈尔滨 移动)
122.188.1.52	(中国湖北黄冈 联通)
122.188.44.56	(中国湖北黄冈 联通)
122.188.185.26	(中国湖北荆门 联通)
111.180.137.89	(中国湖北十堰 电信)
171.43.194.150	(中国湖北武汉 电信)
111.48.66.53	(中国湖北武汉 移动)
111.48.204.92	(中国湖北武汉 移动)
183.95.221.171	(中国湖北咸宁 联通)
61.184.6.58	(中国湖北襄阳 电信)
111.48.51.148	(中国湖北襄阳 移动)
27.21.227.172	(中国湖北宜昌 电信)
116.207.184.167	(中国湖北宜昌 电信)
116.207.185.100	(中国湖北宜昌 电信)
119.36.225.129	(中国湖北宜昌 联通)
118.252.5.40	(中国湖南常德 电信)
113.219.132.36	(中国湖南郴州 电信)
113.219.184.158	(中国湖南郴州 电信)
211.91.233.77	(中国湖南岳阳 联通)
118.253.194.7	(中国湖南长沙 电信)
175.12.73.18	(中国湖南长沙 电信)
116.162.168.247	(中国湖南长沙 联通)
116.162.169.63	(中国湖南长沙 联通)
116.162.225.152	(中国湖南长沙 联通)
120.226.45.166	(中国湖南长沙 移动)
119.55.204.21	(中国吉林白山 联通)
61.161.0.180	(中国吉林四平 联通)
116.142.244.152	(中国吉林长春 联通)
175.19.127.22	(中国吉林长春 联通)
58.216.16.40	(中国江苏常州 电信)
58.216.84.70	(中国江苏常州 电信)
180.101.152.178	(中国江苏常州 电信)
153.101.51.143	(中国江苏常州 联通)
58.223.176.80	(中国江苏连云港 电信)
117.92.228.159	(中国江苏连云港 电信)
117.92.241.14	(中国江苏连云港 电信)
180.105.204.136	(中国江苏连云港 电信)
218.98.41.54	(中国江苏连云港 联通)
36.150.28.205	(中国江苏连云港 移动)
36.156.76.98	(中国江苏南通 移动)
122.195.144.8	(中国江苏宿迁 联通)
103.83.74.19	(中国江苏宿迁 联通/移动)
223.113.137.10	(中国江苏泰州 移动)
36.155.107.9	(中国江苏无锡 移动)
36.163.6.169	(中国江苏徐州 移动)
59.83.212.228	(中国江苏盐城 联通)
36.151.217.119	(中国江苏盐城 移动)
223.109.46.88	(中国江苏盐城 移动)
58.220.44.80	(中国江苏扬州 电信)
58.220.71.42	(中国江苏扬州 电信)
58.220.78.63	(中国江苏扬州 电信)
222.186.183.160	(中国江苏镇江 电信)
222.186.189.86	(中国江苏镇江 电信)
36.151.232.87	(中国江苏镇江 移动)
211.103.105.138	(中国江苏镇江 移动)
113.194.51.80	(中国江西抚州 联通)
220.177.175.218	(中国江西吉安 电信)
117.40.197.42	(中国江西景德镇 电信)
106.225.246.39	(中国江西南昌 电信)
116.153.79.106	(中国江西南昌 联通)
118.212.226.28	(中国江西南昌 联通)
118.212.235.179	(中国江西南昌 联通)
42.202.156.33	(中国辽宁大连 电信)
42.202.160.106	(中国辽宁大连 电信)
42.202.169.217	(中国辽宁大连 电信)
42.202.212.46	(中国辽宁大连 电信)
42.202.218.252	(中国辽宁大连 电信)
218.24.86.101	(中国辽宁沈阳 联通)
218.24.108.6	(中国辽宁沈阳 联通)
36.131.221.240	(中国辽宁沈阳 移动)
120.201.64.75	(中国辽宁沈阳 移动)
221.180.210.66	(中国辽宁沈阳 移动)
223.100.34.85	(中国辽宁沈阳 移动)
1.180.27.176	(中国内蒙古呼和浩特 电信)
1.180.214.245	(中国内蒙古呼和浩特 电信)
116.136.189.36	(中国内蒙古呼和浩特 联通)
111.56.82.197	(中国内蒙古呼和浩特 移动)
36.103.166.17	(中国宁夏中卫 电信)
125.72.141.40	(中国青海西宁 电信)
218.95.237.55	(中国青海西宁 电信)
223.221.177.173	(中国青海西宁 电信)
43.242.182.99	(中国青海西宁 联通)
116.177.237.140	(中国青海西宁 联通)
116.177.240.115	(中国青海西宁 联通)
139.170.157.170	(中国青海西宁 联通)
150.138.233.58	(中国山东济南 电信)
60.217.233.112	(中国山东济南 联通)
116.196.130.61	(中国山东济南 联通)
116.196.136.236	(中国山东济南 联通)
116.196.139.43	(中国山东济南 联通)
116.196.155.18	(中国山东济南 联通)
119.188.173.193	(中国山东济南 联通)
120.222.158.5	(中国山东济南 移动)
60.211.209.80	(中国山东济宁 联通)
140.249.238.166	(中国山东青岛 电信)
140.249.244.147	(中国山东青岛 电信)
119.167.131.189	(中国山东青岛 联通)
120.220.221.215	(中国山东青岛 移动)
61.179.224.75	(中国山东泰安 联通)
120.220.231.85	(中国山东潍坊 移动)
150.138.93.72	(中国山东枣庄 电信)
60.210.9.209	(中国山东淄博 联通)
120.222.143.50	(中国山东淄博 移动)
1.71.88.73	(中国山西太原 电信)
221.204.18.184	(中国山西太原 联通)
221.204.95.143	(中国山西太原 联通)
183.201.85.96	(中国山西太原 移动)
183.201.202.192	(中国山西太原 移动)
124.166.227.197	(中国山西阳泉 联通)
113.142.189.26	(中国陕西西安 电信)
113.142.207.139	(中国陕西西安 电信)
113.142.214.203	(中国陕西西安 电信)
219.144.82.96	(中国陕西西安 电信)
113.201.47.68	(中国陕西西安 联通)
111.19.185.26	(中国陕西西安 移动)
112.46.40.110	(中国陕西西安 移动)
113.142.209.175	(中国陕西延安 电信)
61.170.65.10	(中国上海 电信)
61.170.82.65	(中国上海 电信)
61.170.101.152	(中国上海 电信)
61.172.254.19	(中国上海 电信)
180.163.116.187	(中国上海 电信)
180.163.118.254	(中国上海 电信)
180.163.120.6	(中国上海 电信)
112.64.213.223	(中国上海 联通)
117.186.171.115	(中国上海 移动)
182.140.143.62	(中国四川成都 电信)
182.140.236.63	(中国四川成都 电信)
222.212.210.86	(中国四川成都 电信)
222.212.211.52	(中国四川成都 电信)
101.206.162.82	(中国四川成都 联通)
112.192.17.189	(中国四川成都 联通)
116.169.180.154	(中国四川成都 联通)
116.169.181.57	(中国四川成都 联通)
116.169.183.111	(中国四川成都 联通)
116.169.189.159	(中国四川成都 联通)
36.170.18.25	(中国四川成都 移动)
183.222.232.149	(中国四川成都 移动)
220.167.5.132	(中国四川德阳 电信)
220.167.106.55	(中国四川德阳 电信)
60.28.220.208	(中国天津 联通)
111.161.40.82	(中国天津 联通)
116.130.199.11	(中国天津 联通)
125.38.6.50	(中国天津 联通)
125.38.212.89	(中国天津 联通)
125.39.238.72	(中国天津 联通)
111.31.112.83	(中国天津 移动)
111.31.122.50	(中国天津 移动)
49.119.121.201	(中国新疆乌鲁木齐 电信)
49.119.128.130	(中国新疆乌鲁木齐 电信)
116.178.78.200	(中国新疆乌鲁木齐 联通)
180.130.97.193	(中国云南昆明 联通)
14.205.46.80	(中国云南玉溪 联通)
39.173.129.30	(中国浙江杭州 移动)
39.173.184.35	(中国浙江杭州 移动)
101.64.180.215	(中国浙江湖州 联通)
36.27.222.241	(中国浙江金华 电信)
60.188.68.56	(中国浙江金华 电信)
101.69.99.142	(中国浙江金华 联通)
183.131.59.39	(中国浙江宁波 电信)
101.71.71.103	(中国浙江宁波 联通)
115.223.8.117	(中国浙江温州 电信)
115.223.49.24	(中国浙江温州 电信)
122.228.91.175	(中国浙江温州 电信)
112.16.227.104	(中国浙江温州 移动)
112.16.254.180	(中国浙江温州 移动)
